Ni,Al,Co,Cr,Mo,Nb,Ta,Ti,W,CALPHAD,Exp,index,ML
48,2,4,10,4,10,12,8,2,1144.30073,1208.1,47341,1206.708932
36,8,12,10,10,10,8,6,0,1316.445,1333.9,110012,1190.856528
42,0,24,10,4,8,2,10,0,1310.596402,1170.8,235493,1193.446835
36,4,8,14,10,8,6,10,4,1327.66707,1168.4,330675,1204.142437
50,0,24,14,0,0,6,6,0,1335.385879,1328.6,443572,1203.585635
40,8,0,10,6,8,12,12,4,1435.75143,1390.3,229,1286.409727
38,8,0,14,6,12,6,12,4,1423.19118,1378.3,271845,1273.97713
36,4,4,14,8,10,8,12,4,1383.80157,1314.1,301893,1235.082931
36,4,0,18,10,4,12,12,4,1441.37465,1314.7,486766,1283.388116
36,4,0,18,10,12,4,12,4,1453.82284,1305.9,503599,1279.838627
50,0,24,14,0,0,6,6,0,1335.385879,1335.8,443572,1203.585635
38,8,0,14,10,6,12,8,4,1463.11529,1363.4,259317,1293.823418
32,4,12,14,2,6,8,12,10,1430.05683,1327.4,360861,1379.696317
34,8,4,18,8,2,12,12,2,1352.99085,1383.9,516389,1295.564116
32,4,12,18,2,8,2,12,10,1400.58749,1291.5,596405,1372.177115
46,6,0,10,10,4,2,12,10,1597.31402,1328.9,3413,1515.661399
36,4,8,10,10,0,10,12,10,1533.00363,1273.2,70543,1445.639604
36,6,20,10,2,0,12,6,8,1223.809954,1207.8,190895,1409.681914
56,8,4,14,0,2,2,6,8,1237.90706,1343.5,280120,1429.277323
32,4,8,18,4,10,2,12,10,1467.96519,1310.9,566931,1388.655911
48,0,4,10,8,12,12,6,0,1127.95759,1256.7,47834,1203.8578
64,0,16,10,0,2,0,6,2,1364.05504,1359,172620,1197.9644
58,0,24,10,0,0,0,6,2,1383.09028,1377.8,239290,1191.5996
66,0,12,14,0,0,2,6,0,1356.37178,1351.14,343195,1198.5375
56,0,20,18,0,0,0,6,0,1358.01474,1357.7,641901,1188.7639
48,4,8,10,6,12,2,8,2,1141.88815,1188.1,88601,1283.0388
66,2,12,10,0,0,2,6,2,1365.06061,1352.3,137516,1214.008
60,0,20,10,0,0,2,6,2,1372.31946,1370.9,206937,1221.4938
62,2,16,14,0,0,0,6,0,1363.25797,1346.8,383868,1215.8455
58,0,20,14,2,0,0,6,0,1357.67037,1359.1,412361,1207.2281
40,8,0,10,6,12,12,12,0,1254.12988,1387.9,681,1351.9948
38,2,16,10,6,2,10,12,4,1188.82265,1202.8,153804,1295.3358
30,2,24,10,10,4,10,8,2,1195.89588,1188.9,220347,1306.6205
34,2,16,14,4,8,6,12,4,1194.31839,1179.1,386984,1300.1713
34,4,20,18,2,10,0,6,6,1194.57959,1168.9,656444,1294.1294
42,6,0,10,10,12,2,8,10,1613.72201,1281,1416,1532.7566
50,2,0,14,6,0,12,6,10,1377.30026,1234.2,243892,1499.7806
42,8,4,14,0,12,6,8,6,1300.58897,1361.3,306247,1401.6732
40,0,4,18,10,2,10,6,10,1411.25135,1237.8,515192,1505.6956
32,8,12,18,0,8,4,8,10,1313.31418,1370.1,597407,1426.1062
