Ni,Al,Co,Cr,Mo,Nb,Ta,Ti,W
30,2,20,18,2,0,10,12,6
48,6,12,10,10,6,0,6,2
46,0,8,18,0,8,8,6,6
30,2,16,14,10,4,10,12,2
56,6,0,14,6,2,8,8,0
34,4,16,10,2,8,12,10,4
50,2,4,10,2,8,12,10,2
50,4,4,10,4,12,6,6,4
58,2,0,14,6,6,8,6,0
38,6,16,10,8,4,8,6,4
24,4,20,14,10,6,8,12,2
58,2,4,10,4,10,0,12,0
38,0,16,18,4,0,12,10,2
30,0,24,18,8,6,2,6,6
38,4,20,14,2,8,2,10,2
58,4,4,14,0,2,4,12,2
40,0,12,14,10,2,12,10,0
44,2,12,14,8,2,4,12,2
42,4,16,10,4,10,2,6,6
38,2,8,14,8,12,6,10,2
46,4,12,10,0,6,12,8,2
32,4,24,18,0,4,10,8,0
40,6,20,10,8,6,4,6,0
50,6,8,14,4,4,4,8,2
42,4,8,14,10,8,6,6,2
34,2,20,14,8,6,4,12,0
30,2,24,10,2,10,10,12,0
46,6,12,14,0,6,0,12,4
32,0,20,14,10,8,4,10,2
42,6,8,10,0,10,12,12,0
38,4,20,10,6,8,4,6,4
44,4,12,14,2,0,12,10,2
50,2,8,14,4,6,4,12,0
32,2,24,18,0,2,2,12,8
36,4,16,10,6,10,2,12,4
50,4,4,10,6,12,0,12,2
60,0,0,10,0,8,6,12,4
30,2,20,10,10,10,6,12,0
32,2,16,18,4,6,12,10,0
30,2,20,10,6,8,8,12,4
48,2,8,10,4,8,12,8,0
44,4,8,14,0,10,12,6,2
52,0,4,14,0,12,6,8,4
24,4,24,14,10,8,6,10,0
46,6,12,14,0,4,10,8,0
44,0,12,18,4,6,6,8,2
56,0,0,18,8,8,4,6,0
48,0,0,14,10,12,10,6,0
32,2,16,18,8,4,10,10,0
34,4,20,18,4,4,2,12,2
48,0,8,14,0,12,8,8,2
32,2,20,18,4,12,2,10,0
26,2,20,18,8,2,12,12,0
36,0,16,14,10,4,12,6,2
56,4,0,10,4,6,6,12,2
50,4,8,10,6,0,8,12,2
34,2,20,18,0,8,8,6,4
42,2,16,18,4,8,4,6,0
52,2,4,10,2,4,12,12,2
36,2,16,14,10,8,4,8,2
50,2,8,14,8,8,2,6,2
32,4,24,14,4,12,0,8,2
40,4,16,18,6,6,0,10,0
36,2,20,18,0,12,0,12,0
30,2,24,10,4,6,12,12,0
48,0,8,14,4,4,12,8,2
26,2,24,14,8,10,8,8,0
30,4,24,10,6,0,12,8,6
22,4,24,14,6,6,12,6,6
34,4,20,18,2,0,8,12,2
48,0,4,14,0,12,12,6,4
50,6,8,14,0,6,4,10,2
60,2,0,14,4,6,4,10,0
28,2,24,14,6,4,12,6,4
32,2,20,18,0,4,10,8,6
46,0,8,18,2,12,2,6,6
34,2,20,14,2,8,10,8,2
36,4,20,14,0,8,0,10,8
48,4,8,10,0,10,8,10,2
40,6,16,14,6,2,4,8,4
50,2,8,10,10,2,10,8,0
38,4,16,10,2,8,8,8,6
34,0,16,14,6,4,12,12,2
42,4,16,10,2,8,6,10,2
